"work_year";"experience_level";"employment_type";"job_title";"salary_currency";"salary_in_usd";"employee_residence";"remote_ratio";"company_location";"company_size"
2020;"MI";"FT";"Data Scientist";"USD";118000;"US";100;"US";"M"
2020;"MI";"FT";"Data Scientist";"USD";138350;"US";100;"US";"M"
2020;"MI";"FT";"Data Scientist";"INR";40481;"IN";0;"IN";"L"
2020;"MI";"FT";"Data Scientist";"EUR";38776;"ES";100;"ES";"M"
2020;"MI";"FT";"Data Scientist";"EUR";42197;"FR";50;"FR";"S"
2020;"MI";"FT";"Data Scientist";"USD";45760;"PH";100;"US";"S"
2020;"MI";"FT";"Data Scientist";"EUR";62726;"FR";50;"LU";"S"
2020;"MI";"FT";"Data Scientist";"GBP";76958;"GB";100;"GB";"S"
2020;"MI";"FT";"Data Scientist";"EUR";79833;"DE";0;"DE";"L"
2020;"MI";"FT";"Lead Data Analyst";"USD";87000;"US";100;"US";"L"
2020;"MI";"FT";"Lead Data Engineer";"USD";56000;"PT";100;"US";"M"
2020;"MI";"FT";"Lead Data Scientist";"USD";115000;"AE";0;"AE";"L"
2020;"MI";"FT";"Machine Learning Infrastructure Engineer";"EUR";50180;"PT";0;"PT";"M"
2020;"MI";"FT";"Product Data Analyst";"USD";20000;"HN";0;"HN";"S"
2020;"MI";"FT";"Product Data Analyst";"INR";6072;"IN";100;"IN";"L"
2020;"MI";"FT";"Research Scientist";"USD";450000;"US";0;"US";"M"
2020;"SE";"FL";"Computer Vision Engineer";"USD";60000;"RU";100;"US";"S"
2020;"SE";"FT";"Big Data Engineer";"EUR";114047;"PL";100;"GB";"S"
2020;"SE";"FT";"Big Data Engineer";"GBP";109024;"GB";50;"GB";"M"
2020;"SE";"FT";"Data Engineer";"USD";188000;"US";100;"US";"L"
2020;"SE";"FT";"Data Engineer";"EUR";47899;"GR";50;"GR";"L"
2020;"SE";"FT";"Data Engineer";"MXN";33511;"MX";0;"MX";"S"
2020;"SE";"FT";"Data Science Manager";"USD";190200;"US";100;"US";"M"
2020;"SE";"FT";"Data Scientist";"USD";120000;"US";50;"US";"L"
2020;"SE";"FT";"Data Scientist";"USD";412000;"US";100;"US";"L"
2020;"SE";"FT";"Data Scientist";"EUR";68428;"GR";100;"US";"L"
2020;"SE";"FT";"Data Scientist";"EUR";91237;"AT";0;"AT";"S"
2020;"SE";"FT";"Lead Data Engineer";"USD";125000;"NZ";50;"NZ";"S"
2020;"SE";"FT";"Lead Data Scientist";"USD";190000;"US";100;"US";"S"
2020;"SE";"FT";"Machine Learning Engineer";"USD";150000;"US";50;"US";"L"
2020;"SE";"FT";"Machine Learning Engineer";"EUR";45618;"HR";100;"HR";"S"
2020;"SE";"FT";"Machine Learning Manager";"CAD";117104;"CA";50;"CA";"L"
2020;"SE";"FT";"Machine Learning Scientist";"USD";260000;"JP";0;"JP";"S"
2020;"SE";"FT";"Principal Data Scientist";"EUR";148261;"DE";100;"DE";"M"
2021;"EN";"FT";"3D Computer Vision Researcher";"USD";20000;"AS";0;"AS";"M"
2021;"EN";"FT";"AI Scientist";"INR";18053;"IN";100;"AS";"S"
2021;"EN";"FT";"Applied Data Scientist";"GBP";110037;"GB";0;"GB";"L"
2021;"EN";"FT";"BI Data Analyst";"USD";55000;"US";50;"US";"S"
2021;"EN";"FT";"BI Data Analyst";"USD";9272;"KE";100;"KE";"S"
2021;"EN";"FT";"Big Data Engineer";"INR";16228;"IN";100;"IN";"L"
2021;"EN";"FT";"Big Data Engineer";"INR";5882;"IN";0;"CH";"L"
2021;"EN";"FT";"Business Data Analyst";"EUR";59102;"LU";100;"LU";"L"
2021;"EN";"FT";"Computer Vision Software Engineer";"USD";70000;"US";100;"US";"M"
2021;"EN";"FT";"Data Analyst";"EUR";59102;"FR";50;"FR";"M"
2021;"EN";"FT";"Data Analyst";"USD";50000;"US";100;"US";"M"
2021;"EN";"FT";"Data Analyst";"AUD";42028;"AU";50;"AU";"L"
2021;"EN";"FT";"Data Analyst";"USD";60000;"US";100;"US";"S"
2021;"EN";"FT";"Data Analyst";"USD";80000;"US";100;"US";"M"
2021;"EN";"FT";"Data Analyst";"USD";90000;"US";100;"US";"S"
2021;"EN";"FT";"Data Engineer";"INR";21637;"IN";50;"IN";"M"
2021;"EN";"FT";"Data Engineer";"INR";30428;"IN";100;"IN";"L"
2021;"EN";"FT";"Data Engineer";"GBP";45390;"GB";50;"GB";"L"
2021;"EN";"FT";"Data Engineer";"EUR";65013;"DE";50;"DE";"M"
2021;"EN";"FT";"Data Engineer";"USD";72500;"US";100;"US";"L"
2021;"EN";"FT";"Data Engineer";"USD";80000;"US";100;"US";"L"
2021;"EN";"FT";"Data Science Consultant";"EUR";63831;"DE";50;"DE";"L"
2021;"EN";"FT";"Data Science Consultant";"EUR";76833;"DE";0;"DE";"L"
2021;"EN";"FT";"Data Science Consultant";"EUR";76833;"DE";100;"DE";"S"
2021;"EN";"FT";"Data Science Consultant";"USD";90000;"US";100;"US";"S"
2021;"EN";"FT";"Data Scientist";"USD";1e+05;"US";0;"US";"S"
2021;"EN";"FT";"Data Scientist";"USD";1e+05;"US";100;"US";"M"
2021;"EN";"FT";"Data Scientist";"USD";13400;"UA";100;"UA";"L"
2021;"EN";"FT";"Data Scientist";"INR";28399;"IN";100;"IN";"M"
2021;"EN";"FT";"Data Scientist";"INR";29751;"IN";50;"IN";"L"
2021;"EN";"FT";"Data Scientist";"EUR";36643;"FR";50;"FR";"L"
2021;"EN";"FT";"Data Scientist";"EUR";49646;"FR";50;"FR";"M"
2021;"EN";"FT";"Data Scientist";"USD";58000;"US";50;"US";"L"
2021;"EN";"FT";"Data Scientist";"USD";80000;"US";100;"US";"M"
2021;"EN";"FT";"Data Scientist";"USD";90000;"US";100;"US";"S"
2021;"EN";"FT";"Machine Learning Developer";"USD";1e+05;"IQ";50;"IQ";"S"
2021;"EN";"FT";"Machine Learning Developer";"USD";15000;"TH";100;"TH";"L"
2021;"EN";"FT";"Machine Learning Engineer";"USD";125000;"US";100;"US";"S"
2021;"EN";"FT";"Machine Learning Engineer";"USD";20000;"IN";100;"IN";"S"
2021;"EN";"FT";"Machine Learning Engineer";"EUR";24823;"DE";50;"DE";"M"
2021;"EN";"FT";"Machine Learning Engineer";"USD";21844;"CO";50;"CO";"M"
2021;"EN";"FT";"Machine Learning Engineer";"USD";81000;"US";50;"US";"S"
2021;"EN";"FT";"Machine Learning Engineer";"USD";85000;"NL";100;"DE";"S"
2021;"EN";"FT";"Machine Learning Research Engineer";"USD";20000;"FR";50;"FR";"M"
2021;"EN";"FT";"Machine Learning Research Engineer";"INR";12171;"IN";100;"IN";"M"
2021;"EN";"FT";"Machine Learning Scientist";"USD";225000;"US";100;"US";"L"
2021;"EN";"FT";"Marketing Data Engineer";"SGD";66970;"SG";50;"SG";"L"
2021;"EN";"FT";"Power BI Developer";"INR";5409;"IN";50;"IN";"L"
2021;"EN";"FT";"Research Scientist";"USD";1e+05;"JE";0;"CN";"L"
2021;"EN";"FT";"Research Scientist";"GBP";82528;"GB";50;"GB";"L"
2021;"EN";"PT";"AI Scientist";"USD";12000;"BR";100;"US";"S"
2021;"EN";"PT";"AI Scientist";"USD";12000;"PK";100;"US";"M"
2021;"EN";"PT";"Computer Vision Engineer";"DKK";28609;"DK";50;"DK";"S"
2021;"EN";"PT";"Computer Vision Software Engineer";"DKK";19073;"DK";50;"DK";"L"
2021;"EN";"PT";"Data Analyst";"EUR";10354;"ES";50;"ES";"M"
2021;"EX";"CT";"Principal Data Scientist";"USD";416000;"US";100;"US";"S"
2021;"EX";"FT";"BI Data Analyst";"USD";150000;"IN";100;"US";"L"
2021;"EX";"FT";"Data Science Consultant";"EUR";69741;"FR";100;"ES";"S"
2021;"EX";"FT";"Director of Data Science";"EUR";130026;"DE";50;"DE";"M"
2021;"EX";"FT";"Director of Data Science";"EUR";141846;"DE";0;"DE";"L"
2021;"EX";"FT";"Director of Data Science";"EUR";153667;"IT";100;"PL";"L"
2021;"EX";"FT";"Director of Data Science";"USD";250000;"US";0;"US";"L"
2021;"EX";"FT";"Head of Data Science";"USD";85000;"RU";0;"RU";"M"
2021;"EX";"FT";"Head of Data";"USD";230000;"RU";50;"RU";"L"
2021;"EX";"FT";"Head of Data";"USD";235000;"US";100;"US";"L"
2021;"MI";"CT";"ML Engineer";"USD";270000;"US";100;"US";"L"
2021;"MI";"FL";"Autonomous Vehicle Technician";"USD";45555;"AS";50;"BS";"M"
2021;"MI";"FL";"Data Engineer";"USD";20000;"IT";0;"US";"L"
2021;"MI";"FL";"Machine Learning Scientist";"USD";12000;"PK";50;"PK";"M"
2021;"MI";"FT";"AI Scientist";"USD";30000;"GH";0;"GH";"S"
2021;"MI";"FT";"Applied Data Scientist";"CAD";54238;"GB";50;"CA";"L"
2021;"MI";"FT";"Applied Machine Learning Scientist";"USD";38400;"VN";100;"US";"M"
2021;"MI";"FT";"Applied Machine Learning Scientist";"USD";423000;"US";50;"US";"L"
2021;"MI";"FT";"BI Data Analyst";"USD";1e+05;"US";100;"US";"M"
2021;"MI";"FT";"BI Data Analyst";"HUF";36259;"HU";50;"US";"L"
2021;"MI";"FT";"Big Data Engineer";"INR";22611;"IN";0;"IN";"L"
2021;"MI";"FT";"Big Data Engineer";"USD";18000;"MD";0;"MD";"S"
2021;"MI";"FT";"Big Data Engineer";"USD";60000;"ES";50;"RO";"M"
2021;"MI";"FT";"Cloud Data Engineer";"SGD";89294;"SG";50;"SG";"L"
2021;"MI";"FT";"Computer Vision Software Engineer";"EUR";95746;"DE";100;"US";"S"
2021;"MI";"FT";"Data Analyst";"INR";16904;"IN";50;"IN";"L"
2021;"MI";"FT";"Data Analyst";"USD";135000;"US";100;"US";"L"
2021;"MI";"FT";"Data Analyst";"GBP";51519;"GB";50;"GB";"L"
2021;"MI";"FT";"Data Analyst";"USD";62000;"US";0;"US";"L"
2021;"MI";"FT";"Data Analyst";"USD";75000;"US";0;"US";"L"
2021;"MI";"FT";"Data Analyst";"USD";80000;"US";100;"US";"L"
2021;"MI";"FT";"Data Analyst";"USD";90000;"US";100;"US";"M"
2021;"MI";"FT";"Data Analyst";"USD";93000;"US";100;"US";"L"
2021;"MI";"FT";"Data Analytics Engineer";"USD";110000;"US";100;"US";"L"
2021;"MI";"FT";"Data Architect";"USD";150000;"US";100;"US";"L"
2021;"MI";"FT";"Data Architect";"USD";170000;"US";100;"US";"L"
2021;"MI";"FT";"Data Architect";"USD";180000;"US";100;"US";"L"
2021;"MI";"FT";"Data Engineer";"AUD";75050;"AU";50;"AU";"L"
2021;"MI";"FT";"Data Engineer";"USD";1e+05;"US";100;"US";"L"
2021;"MI";"FT";"Data Engineer";"TRY";12103;"TR";0;"TR";"M"
2021;"MI";"FT";"Data Engineer";"PLN";28476;"PL";100;"PL";"L"
2021;"MI";"FT";"Data Engineer";"USD";110000;"US";100;"US";"L"
2021;"MI";"FT";"Data Engineer";"USD";111775;"US";0;"US";"M"
2021;"MI";"FT";"Data Engineer";"USD";112000;"US";100;"US";"L"
2021;"MI";"FT";"Data Engineer";"USD";140000;"US";100;"US";"L"
2021;"MI";"FT";"Data Engineer";"USD";2e+05;"US";100;"US";"L"
2021;"MI";"FT";"Data Engineer";"USD";2e+05;"US";100;"US";"L"
2021;"MI";"FT";"Data Engineer";"EUR";26005;"RO";0;"US";"L"
2021;"MI";"FT";"Data Engineer";"EUR";28369;"MT";50;"MT";"L"
2021;"MI";"FT";"Data Engineer";"TRY";28016;"TR";100;"TR";"M"
2021;"MI";"FT";"Data Engineer";"EUR";45391;"NL";100;"NL";"L"
2021;"MI";"FT";"Data Engineer";"GBP";66022;"HK";50;"GB";"S"
2021;"MI";"FT";"Data Engineer";"GBP";72212;"GB";50;"GB";"L"
2021;"MI";"FT";"Data Engineer";"GBP";82528;"GB";100;"GB";"L"
2021;"MI";"FT";"Data Engineer";"USD";90000;"US";100;"US";"L"
2021;"MI";"FT";"Data Engineer";"USD";93150;"US";0;"US";"M"
2021;"MI";"FT";"Data Science Engineer";"EUR";40189;"GR";100;"GR";"M"
2021;"MI";"FT";"Data Science Lead";"USD";150000;"US";100;"US";"M"
2021;"MI";"FT";"Data Scientist";"USD";109000;"US";50;"US";"L"
2021;"MI";"FT";"Data Scientist";"USD";115000;"US";50;"US";"L"
2021;"MI";"FT";"Data Scientist";"INR";16904;"IN";100;"IN";"S"
2021;"MI";"FT";"Data Scientist";"USD";130000;"US";50;"US";"L"
2021;"MI";"FT";"Data Scientist";"USD";147000;"US";50;"US";"L"
2021;"MI";"FT";"Data Scientist";"USD";150000;"US";100;"US";"M"
2021;"MI";"FT";"Data Scientist";"SGD";119059;"SG";100;"IL";"M"
2021;"MI";"FT";"Data Scientist";"USD";160000;"US";100;"US";"L"
2021;"MI";"FT";"Data Scientist";"EUR";25532;"RS";100;"DE";"S"
2021;"MI";"FT";"Data Scientist";"INR";33808;"IN";0;"IN";"M"
2021;"MI";"FT";"Data Scientist";"CLP";40038;"CL";100;"CL";"L"
2021;"MI";"FT";"Data Scientist";"EUR";37825;"ES";100;"ES";"L"
2021;"MI";"FT";"Data Scientist";"EUR";46809;"ES";100;"ES";"M"
2021;"MI";"FT";"Data Scientist";"GBP";56256;"GB";50;"GB";"L"
2021;"MI";"FT";"Data Scientist";"INR";5679;"IN";100;"US";"S"
2021;"MI";"FT";"Data Scientist";"USD";50000;"NG";100;"NG";"L"
2021;"MI";"FT";"Data Scientist";"EUR";61467;"DE";50;"AT";"M"
2021;"MI";"FT";"Data Scientist";"BRL";12901;"BR";0;"BR";"S"
2021;"MI";"FT";"Data Scientist";"INR";9466;"IN";0;"IN";"S"
2021;"MI";"FT";"Data Scientist";"USD";73000;"US";0;"US";"L"
2021;"MI";"FT";"Data Scientist";"EUR";88654;"DE";50;"DE";"L"
2021;"MI";"FT";"Data Scientist";"EUR";90734;"DE";50;"DE";"L"
2021;"MI";"FT";"Data Scientist";"EUR";90734;"DE";50;"DE";"L"
2021;"MI";"FT";"Data Scientist";"USD";82500;"US";100;"US";"S"
2021;"MI";"FT";"Data Scientist";"GBP";116914;"GB";50;"GB";"L"
2021;"MI";"FT";"Data Scientist";"CAD";75774;"CA";100;"CA";"L"
2021;"MI";"FT";"Head of Data Science";"USD";110000;"US";0;"US";"S"
2021;"MI";"FT";"Lead Data Analyst";"INR";19609;"IN";100;"IN";"L"
2021;"MI";"FT";"Machine Learning Engineer";"PLN";46597;"PL";100;"PL";"L"
2021;"MI";"FT";"Machine Learning Engineer";"EUR";24823;"SI";50;"SI";"L"
2021;"MI";"FT";"Machine Learning Engineer";"EUR";47282;"ES";100;"ES";"S"
2021;"MI";"FT";"Machine Learning Engineer";"EUR";51064;"IT";50;"IT";"L"
2021;"MI";"FT";"Machine Learning Engineer";"USD";74000;"JP";50;"JP";"S"
2021;"MI";"FT";"Machine Learning Engineer";"EUR";88654;"BE";100;"BE";"M"
2021;"MI";"FT";"ML Engineer";"JPY";63711;"JP";50;"JP";"S"
2021;"MI";"FT";"ML Engineer";"JPY";77364;"JP";50;"JP";"S"
2021;"MI";"FT";"Principal Data Scientist";"USD";151000;"US";100;"US";"L"
2021;"MI";"FT";"Research Scientist";"CAD";187442;"CA";100;"CA";"L"
2021;"MI";"FT";"Research Scientist";"EUR";56738;"FR";50;"FR";"S"
2021;"MI";"FT";"Research Scientist";"EUR";62649;"FR";50;"FR";"M"
2021;"MI";"FT";"Research Scientist";"USD";69999;"CZ";50;"CZ";"L"
2021;"MI";"FT";"Research Scientist";"CAD";63810;"CA";100;"CA";"M"
2021;"MI";"PT";"3D Computer Vision Researcher";"INR";5409;"IN";50;"IN";"M"
2021;"MI";"PT";"Data Engineer";"EUR";69741;"NL";100;"NL";"L"
2021;"SE";"CT";"Staff Data Scientist";"USD";105000;"US";100;"US";"M"
2021;"SE";"FT";"AI Scientist";"USD";55000;"ES";100;"ES";"L"
2021;"SE";"FT";"Big Data Architect";"CAD";99703;"CA";50;"CA";"M"
2021;"SE";"FT";"Cloud Data Architect";"USD";250000;"US";50;"US";"L"
2021;"SE";"FT";"Cloud Data Engineer";"USD";160000;"BR";100;"US";"S"
2021;"SE";"FT";"Computer Vision Engineer";"BRL";18907;"BR";0;"BR";"M"
2021;"SE";"FT";"Computer Vision Engineer";"USD";24000;"BR";100;"BR";"M"
2021;"SE";"FT";"Data Analyst";"USD";115000;"US";100;"US";"S"
2021;"SE";"FT";"Data Analyst";"USD";2e+05;"US";100;"US";"L"
2021;"SE";"FT";"Data Analyst";"USD";50000;"PH";100;"PH";"S"
2021;"SE";"FT";"Data Analyst";"EUR";63831;"DE";50;"DE";"L"
2021;"SE";"FT";"Data Analyst";"USD";80000;"BG";100;"US";"S"
2021;"SE";"FT";"Data Analyst";"CAD";71786;"CA";100;"CA";"M"
2021;"SE";"FT";"Data Analytics Engineer";"USD";50000;"VN";100;"GB";"M"
2021;"SE";"FT";"Data Analytics Engineer";"EUR";79197;"DE";100;"DE";"L"
2021;"SE";"FT";"Data Analytics Manager";"USD";120000;"US";0;"US";"L"
2021;"SE";"FT";"Data Analytics Manager";"USD";120000;"US";100;"US";"M"
2021;"SE";"FT";"Data Analytics Manager";"USD";140000;"US";100;"US";"L"
2021;"SE";"FT";"Data Engineer";"USD";115000;"US";100;"US";"S"
2021;"SE";"FT";"Data Engineer";"USD";150000;"US";0;"US";"L"
2021;"SE";"FT";"Data Engineer";"USD";150000;"US";100;"US";"L"
2021;"SE";"FT";"Data Engineer";"USD";150000;"US";100;"US";"M"
2021;"SE";"FT";"Data Engineer";"USD";153000;"US";100;"US";"L"
2021;"SE";"FT";"Data Engineer";"USD";165000;"US";0;"US";"M"
2021;"SE";"FT";"Data Engineer";"USD";174000;"US";100;"US";"L"
2021;"SE";"FT";"Data Engineer";"USD";2e+05;"US";100;"US";"L"
2021;"SE";"FT";"Data Engineer";"EUR";76833;"RO";50;"GB";"S"
2021;"SE";"FT";"Data Engineer";"GBP";96282;"GB";50;"GB";"L"
2021;"SE";"FT";"Data Engineer";"GBP";113476;"GB";100;"GB";"M"
2021;"SE";"FT";"Data Science Engineer";"CAD";127221;"CA";50;"CA";"L"
2021;"SE";"FT";"Data Science Manager";"USD";144000;"US";100;"US";"L"
2021;"SE";"FT";"Data Science Manager";"USD";152000;"US";100;"FR";"L"
2021;"SE";"FT";"Data Science Manager";"USD";174000;"US";100;"US";"L"
2021;"SE";"FT";"Data Science Manager";"USD";240000;"US";0;"US";"L"
2021;"SE";"FT";"Data Science Manager";"INR";54094;"IN";50;"US";"L"
2021;"SE";"FT";"Data Science Manager";"INR";94665;"IN";50;"IN";"L"
2021;"SE";"FT";"Data Scientist";"CAD";87738;"CA";100;"CA";"S"
2021;"SE";"FT";"Data Scientist";"CAD";103691;"CA";100;"CA";"L"
2021;"SE";"FT";"Data Scientist";"USD";135000;"US";0;"US";"L"
2021;"SE";"FT";"Data Scientist";"USD";165000;"US";100;"US";"L"
2021;"SE";"FT";"Data Scientist";"TRY";20171;"TR";50;"TR";"L"
2021;"SE";"FT";"Data Scientist";"INR";54094;"IN";100;"IN";"L"
2021;"SE";"FT";"Data Scientist";"EUR";53192;"FR";50;"FR";"L"
2021;"SE";"FT";"Data Scientist";"EUR";77684;"FR";50;"FR";"M"
2021;"SE";"FT";"Data Specialist";"USD";165000;"US";100;"US";"L"
2021;"SE";"FT";"Director of Data Science";"USD";168000;"JP";0;"JP";"S"
2021;"SE";"FT";"Finance Data Analyst";"GBP";61896;"GB";50;"GB";"L"
2021;"SE";"FT";"Head of Data";"EUR";102839;"SI";100;"SI";"L"
2021;"SE";"FT";"Lead Data Analyst";"USD";170000;"US";100;"US";"L"
2021;"SE";"FT";"Lead Data Engineer";"USD";160000;"PR";50;"US";"S"
2021;"SE";"FT";"Lead Data Engineer";"USD";276000;"US";0;"US";"L"
2021;"SE";"FT";"Lead Data Engineer";"GBP";103160;"GB";100;"GB";"S"
2021;"SE";"FT";"Lead Data Scientist";"INR";40570;"IN";50;"IN";"L"
2021;"SE";"FT";"Machine Learning Engineer";"INR";24342;"IN";100;"IN";"L"
2021;"SE";"FT";"Machine Learning Engineer";"USD";185000;"US";50;"US";"L"
2021;"SE";"FT";"Machine Learning Engineer";"USD";2e+05;"US";100;"US";"L"
2021;"SE";"FT";"Machine Learning Engineer";"INR";66265;"IN";0;"IN";"L"
2021;"SE";"FT";"Machine Learning Engineer";"EUR";82744;"BE";50;"BE";"M"
2021;"SE";"FT";"Machine Learning Engineer";"EUR";94564;"DE";50;"DE";"L"
2021;"SE";"FT";"Machine Learning Infrastructure Engineer";"USD";195000;"US";100;"US";"M"
2021;"SE";"FT";"Machine Learning Scientist";"USD";120000;"US";50;"US";"S"
2021;"SE";"FT";"Machine Learning Scientist";"USD";225000;"US";100;"CA";"L"
2021;"SE";"FT";"Marketing Data Analyst";"EUR";88654;"GR";100;"DK";"L"
2021;"SE";"FT";"ML Engineer";"USD";256000;"US";100;"US";"S"
2021;"SE";"FT";"Principal Data Analyst";"USD";170000;"US";100;"US";"M"
2021;"SE";"FT";"Principal Data Engineer";"USD";185000;"US";100;"US";"L"
2021;"SE";"FT";"Principal Data Engineer";"USD";2e+05;"US";100;"US";"M"
2021;"SE";"FT";"Principal Data Scientist";"EUR";173762;"DE";100;"DE";"M"
2021;"SE";"FT";"Principal Data Scientist";"USD";220000;"US";0;"US";"L"
2021;"SE";"FT";"Principal Data Scientist";"USD";235000;"US";100;"US";"L"
2021;"SE";"FT";"Research Scientist";"CAD";96113;"CA";50;"CA";"L"
2021;"SE";"FT";"Research Scientist";"USD";50000;"FR";100;"US";"S"
2021;"SE";"FT";"Research Scientist";"EUR";60757;"PT";50;"PT";"L"
2022;"EN";"CT";"Applied Machine Learning Scientist";"EUR";30469;"TN";100;"CZ";"M"
2022;"EN";"FL";"Data Analytics Consultant";"USD";50000;"BE";100;"US";"S"
2022;"EN";"FL";"Machine Learning Engineer";"USD";1e+05;"IR";100;"IR";"M"
2022;"EN";"FT";"3D Computer Vision Researcher";"USD";50000;"US";100;"CR";"S"
2022;"EN";"FT";"AI Developer";"USD";3e+05;"IN";50;"IN";"L"
2022;"EN";"FT";"AI Developer";"EUR";6304;"MK";0;"MK";"S"
2022;"EN";"FT";"AI Programmer";"USD";40000;"PK";100;"AU";"M"
2022;"EN";"FT";"AI Scientist";"USD";2e+05;"CA";50;"CA";"L"
2022;"EN";"FT";"AI Scientist";"EUR";31520;"PT";100;"ES";"M"
2022;"EN";"FT";"AI Scientist";"USD";50000;"US";100;"US";"M"
2022;"EN";"FT";"Analytics Engineer";"USD";130000;"US";50;"US";"L"
2022;"EN";"FT";"Applied Data Scientist";"USD";40000;"AU";100;"PK";"M"
2022;"EN";"FT";"Applied Data Scientist";"USD";50000;"AT";50;"AT";"M"
2022;"EN";"FT";"BI Analyst";"USD";76000;"US";50;"US";"L"
2022;"EN";"FT";"BI Data Analyst";"BRL";6270;"BR";100;"BR";"L"
2022;"EN";"FT";"BI Data Analyst";"USD";57000;"US";100;"US";"L"
2022;"EN";"FT";"BI Data Analyst";"EUR";60938;"DE";0;"DE";"L"
2022;"EN";"FT";"BI Data Analyst";"INR";8050;"IN";100;"IN";"M"
2022;"EN";"FT";"Business Data Analyst";"USD";48000;"US";50;"US";"L"
2022;"EN";"FT";"Business Data Analyst";"USD";50000;"IN";100;"AS";"L"
2022;"EN";"FT";"Computer Vision Engineer";"USD";10000;"PT";100;"LU";"M"
2022;"EN";"FT";"Computer Vision Engineer";"USD";125000;"US";0;"US";"M"
2022;"EN";"FT";"Computer Vision Software Engineer";"USD";150000;"AU";100;"AU";"S"
2022;"EN";"FT";"Data Analyst";"USD";15000;"ID";0;"ID";"L"
2022;"EN";"FT";"Data Analyst";"USD";150000;"US";100;"US";"L"
2022;"EN";"FT";"Data Analyst";"USD";20000;"CR";50;"US";"M"
2022;"EN";"FT";"Data Analyst";"EUR";28368;"FR";50;"FR";"M"
2022;"EN";"FT";"Data Analyst";"BRL";7799;"BR";100;"BR";"L"
2022;"EN";"FT";"Data Analyst";"USD";46000;"US";100;"US";"L"
2022;"EN";"FT";"Data Analyst";"USD";48000;"US";0;"US";"M"
2022;"EN";"FT";"Data Analyst";"USD";50000;"AR";100;"AR";"L"
2022;"EN";"FT";"Data Analyst";"USD";50000;"US";50;"US";"L"
